time_s,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm,angle_ref_rad,vel_ref_rad_s,joint_id
1.1178175178356469,1.044,0.023,0.012,0.0,0.08600000000000001,0.003,0.14411249999999998,0.704025,-0.81624375,0.00287532,-1.1357514,-0.02587788,0.03462789086492814,0.1390678347989082,2
1.1246850062161684,1.044,0.023,0.012,0.0,0.08600000000000001,0.003,0.13820624999999997,0.81860625,-0.81624375,0.01054284,-1.14725268,-0.02108568,0.03490658503988659,0.13962634015954636,2
1.1287511428818107,1.044,0.023,0.012,0.0,0.08600000000000001,0.003,0.146475,0.81860625,-0.8103375,0.01054284,-1.13766828,-0.02012724,0.035186396225566324,0.14018484552018454,2
1.1340079451911151,1.044,0.025,0.012,0.0,0.08600000000000001,0.003,0.14765625000000002,0.9426374999999999,-0.8056125,0.012459719999999999,-1.1357514,-0.02012724,0.03546732442196733,0.14074335088082274,2
1.1537123150192201,1.044,0.025,0.012,0.0,0.08600000000000001,0.003,0.14765625000000002,0.9426374999999999,-0.8032499999999999,0.012459719999999999,-1.13958516,-0.01341816,0.03574936962908961,0.1413018562414609,2
1.1589991129003465,1.044,0.025,0.012,0.0,0.08600000000000001,0.003,0.14765625000000002,0.9001125,-0.8091562499999999,0.012459719999999999,-1.13958516,-0.01341816,0.036032531846933176,0.1418603616020991,2
1.1625342760235071,1.044,0.025,0.012,0.0,0.08600000000000001,0.003,0.14765625000000002,0.9001125,-0.8091562499999999,0.01150128,-1.13958516,-0.01341816,0.03631681107549801,0.14241886696273728,2
1.1653833258897066,1.044,0.025,0.012,0.0,0.08600000000000001,0.003,0.14411249999999998,0.9142874999999999,-0.8056125,0.00862596,-1.13958516,-0.01341816,0.03660220731478412,0.14297737232337548,2
1.1695972150191665,1.044,0.025,0.012,0.0,0.08600000000000001,0.003,0.14411249999999998,0.9142874999999999,-0.8056125,0.00862596,-1.12904232,-0.02779476,0.03688872056479151,0.14353587768401366,2
1.1731249447911978,1.044,0.025,0.012,0.0,0.08600000000000001,0.003,0.14293124999999998,0.9142874999999999,-0.8056125,0.004792199999999999,-1.1405436,-0.01725192,0.03717635082552018,0.14409438304465186,2
1.1780199171043932,1.044,0.025,0.012,0.0,0.08600000000000001,0.003,0.14293124999999998,0.8953875,-0.8032499999999999,0.004792199999999999,-1.1405436,-0.01725192,0.03746509809697012,0.14465288840529003,2
1.1809045788832009,1.044,0.026000000000000002,0.012,0.0,0.08600000000000001,0.003,0.1535625,0.7819875,-0.8032499999999999,0.004792199999999999,-1.13287608,-0.02300256,0.03775496237914134,0.14521139376592823,2
1.185994434170425,1.044,0.026000000000000002,0.012,0.0,0.08600000000000001,0.003,0.1535625,0.7819875,-0.80443125,0.00287532,-1.13287608,-0.02300256,0.03804594367203383,0.1457698991265664,2
1.1890962710604072,1.044,0.026000000000000002,0.012,0.0,0.08600000000000001,0.003,0.14411249999999998,0.88711875,-0.80679375,0.00191688,-1.12808388,-0.02300256,0.03833804197564761,0.1463284044872046,2
1.1973629938438535,1.044,0.027,0.012,0.001,0.08600000000000001,0.003,0.14411249999999998,0.93909375,-0.817425,-0.00191688,-1.12808388,-0.02300256,0.03863125728998265,0.14688690984784278,2
1.2017018990591168,1.044,0.027,0.012,0.001,0.08600000000000001,0.003,0.14411249999999998,0.93909375,-0.817425,-0.00191688,-1.12808388,-0.02300256,0.038925589615038975,0.14744541520848098,2
1.204217726830393,1.044,0.027,0.012,0.001,0.08600000000000001,0.003,0.14411249999999998,0.93909375,-0.817425,-0.00191688,-1.12808388,-0.02300256,0.03922103895081658,0.14800392056911915,2
1.2054556380026042,1.044,0.027,0.012,0.001,0.08600000000000001,0.003,0.14411249999999998,0.93909375,-0.817425,-0.00191688,-1.12808388,-0.02300256,0.039517605297315454,0.14856242592975735,2
1.236450461205095,1.044,0.027,0.012,0.0,0.08600000000000001,0.003,0.14411249999999998,0.8386874999999999,-0.8056125,0.01629348,-1.13000076,-0.009584399999999998,0.039815288654535604,0.14912093129039553,2
1.2406640239059925,1.044,0.027,0.012,0.0,0.08600000000000001,0.003,0.15001874999999998,0.8386874999999999,-0.8056125,0.019168799999999996,-1.11274884,-0.01821036,0.04011408902247704,0.1496794366510337,2
1.244978791102767,1.044,0.027,0.012,0.0,0.08600000000000001,0.003,0.15001874999999998,0.8386874999999999,-0.8056125,0.019168799999999996,-1.11274884,-0.01821036,0.04041400640113974,0.1502379420116719,2
1.2483901348896325,1.044,0.028,0.012,0.0,0.08600000000000001,0.003,0.15001874999999998,0.73355625,-0.80443125,0.019168799999999996,-1.13383452,-0.0143766,0.040715040790523724,0.15079644737231007,2
1.2530467230826616,1.044,0.028,0.012,0.0,0.08600000000000001,0.003,0.1512,0.81860625,-0.80679375,0.00575064,-1.13383452,-0.0143766,0.04101719219062898,0.15135495273294827,2
1.2586561162024736,1.044,0.029,0.012,0.0,0.08600000000000001,0.003,0.1512,0.6969375,-0.80679375,0.00766752,-1.13383452,-0.024919439999999998,0.04132046060145552,0.15191345809358645,2
1.2630168958567083,1.044,0.029,0.012,0.0,0.08600000000000001,0.003,0.15001874999999998,0.6969375,-0.80679375,0.00766752,-1.13958516,-0.01533504,0.04162484602300333,0.15247196345422465,2
1.2675455817952752,1.044,0.029,0.012,0.0,0.08600000000000001,0.003,0.15001874999999998,0.6969375,-0.80679375,0.00766752,-1.13958516,-0.01533504,0.04193034845527242,0.15303046881486282,2
1.2706978358328342,1.044,0.03,0.012,0.0,0.08600000000000001,0.003,0.15001874999999998,0.7252875,-0.80679375,0.01341816,-1.13958516,-0.01533504,0.042236967898262784,0.15358897417550102,2
1.274626823142171,1.044,0.03,0.012,0.0,0.08600000000000001,0.003,0.14529375,0.85995,-0.80443125,0.00383376,-1.1539617599999998,-0.01725192,0.04254470435197442,0.1541474795361392,2
1.2808281960897148,1.044,0.031,0.012,0.0,0.08600000000000001,0.003,0.14529375,0.7607249999999999,-0.81151875,0.01533504,-1.14629424,-0.01725192,0.042853557816407345,0.1547059848967774,2
1.28778509888798,1.044,0.032,0.012,0.0,0.08600000000000001,0.003,0.14175000000000001,0.73355625,-0.80443125,0.00383376,-1.14246048,-0.02108568,0.04316352829156154,0.15526449025741557,2
1.2960599232465029,1.044,0.032,0.012,0.0,0.08600000000000001,0.003,0.14056875,0.73355625,-0.80443125,0.00383376,-1.1453358,-0.01821036,0.043474615777437005,0.15582299561805377,2
