t_s,phase,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,tau_ff_target_nm,tau_total_target_est_nm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tau_ff_1_nm,tau_ff_2_nm,tau_ff_3_nm,tau_ff_4_nm,tau_ff_5_nm,tau_ff_6_nm
0.980249,const_vel,0.108000,0.100000,-0.034000,2.755283,3.465283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.990695,const_vel,0.109000,0.100000,-0.034000,2.755283,3.470283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.001538,const_vel,0.110000,0.100000,-0.034000,2.755283,3.475283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.013322,const_vel,0.111000,0.100000,-0.034000,2.755283,3.480283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.023421,const_vel,0.112000,0.100000,-0.034000,2.755283,3.485283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.033141,const_vel,0.113000,0.100000,-0.034000,2.755283,3.490283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.043236,const_vel,0.114000,0.100000,-0.034000,2.755283,3.495283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.050510,const_vel,0.115000,0.100000,-0.034000,2.755283,3.500283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.060848,const_vel,0.116000,0.100000,-0.034000,2.755283,3.505283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.072616,const_vel,0.117000,0.100000,-0.034000,2.755283,3.510283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.081540,const_vel,0.118000,0.100000,-0.034000,2.755283,3.515283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.091655,const_vel,0.119000,0.100000,-0.034000,2.755283,3.520283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.101708,const_vel,0.120000,0.100000,-0.034000,2.755283,3.525283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.110059,const_vel,0.121000,0.100000,-0.034000,2.755283,3.530283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.122958,const_vel,0.122000,0.100000,-0.034000,2.755283,3.535283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.132990,const_vel,0.123000,0.100000,-0.034000,2.755283,3.540283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.140119,const_vel,0.124000,0.100000,-0.034000,2.755283,3.545283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.150264,const_vel,0.125000,0.100000,-0.034000,2.755283,3.550283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.160511,const_vel,0.126000,0.100000,-0.034000,2.755283,3.555283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.173683,const_vel,0.127000,0.100000,-0.034000,2.755283,3.560283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.183101,const_vel,0.128000,0.100000,-0.034000,2.755283,3.565283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.190736,const_vel,0.129000,0.100000,-0.034000,2.755283,3.570283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.202487,const_vel,0.130000,0.100000,-0.034000,2.755283,3.575283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.211869,const_vel,0.131000,0.100000,-0.034000,2.755283,3.580283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.221570,const_vel,0.132000,0.100000,-0.034000,2.755283,3.585283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.232890,const_vel,0.133000,0.100000,-0.034000,2.755283,3.590283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.241891,const_vel,0.134000,0.100000,-0.034000,2.755283,3.595283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.250247,const_vel,0.135000,0.100000,-0.034000,2.755283,3.600283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.261613,const_vel,0.136000,0.100000,-0.034000,2.755283,3.605283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
1.270439,const_vel,0.137000,0.100000,-0.034000,2.755283,3.610283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
